ID,Year Birth,Education,Relationship Status,Kid in Home,Teen in Home,Date Customer,Recency,Amount of Wines,Amount of Fruits,Amount of Meat Products,Amount of Fish Products,Amount of Sweet Products,Amount of Gold Products,Num of Deals Purchases,Num of Web Purchases,Num of Catalog Purchases,Num of Store Purchases,Num of Web Visits Month,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Total Num of Purchases,Total Amount,Age,Age Group,Campaign Participation
6864,1989,Master,Single,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,6,30,36,Dewasa (36-50),No
3033,1963,Master,In Relationship,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,10,318,62,Paruh Baya (51-65),No
5710,1970,Bachelor,In Relationship,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,7,120,55,Paruh Baya (51-65),Yes
7373,1952,PhD,Single,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,11,302,73,Lansia (>65),Yes
8755,1946,Master,In Relationship,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,17,1196,79,Lansia (>65),No
10738,1951,Master,Single,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,5,65,74,Lansia (>65),No
4339,1970,PhD,In Relationship,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,23,913,55,Paruh Baya (51-65),No
10755,1976,Below Bachelor's Degree,In Relationship,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,6,81,49,Dewasa (36-50),No
8595,1973,Bachelor,Single,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,5,67,52,Paruh Baya (51-65),No
2968,1943,PhD,Single,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,22,902,82,Lansia (>65),Yes
8601,1980,Bachelor,In Relationship,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,19,1395,45,Dewasa (36-50),No
503,1985,Master,In Relationship,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,5,53,40,Dewasa (36-50),No
8430,1957,Bachelor,In Relationship,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,3,22,68,Lansia (>65),No
7281,1959,PhD,Single,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,8,186,66,Lansia (>65),No
2139,1975,Master,In Relationship,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,5,31,50,Dewasa (36-50),No
1371,1976,Bachelor,Single,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,15,984,49,Dewasa (36-50),No
9909,1996,Below Bachelor's Degree,In Relationship,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,7,122,29,Dewasa Muda (26-35),Yes
7286,1968,Bachelor,In Relationship,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,4,55,57,Paruh Baya (51-65),No
7244,1951,Bachelor,Single,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,7,124,74,Lansia (>65),No
6566,1954,PhD,In Relationship,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,19,1319,71,Lansia (>65),No
8614,1957,Bachelor,Single,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,16,507,68,Lansia (>65),No
4114,1964,Master,In Relationship,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,28,1693,61,Paruh Baya (51-65),No
1331,1977,Bachelor,Single,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,5,72,48,Dewasa (36-50),No
2225,1977,Bachelor,Single,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,20,1617,48,Dewasa (36-50),Yes
9381,1978,Bachelor,In Relationship,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,16,606,47,Dewasa (36-50),No
6260,1955,Master,In Relationship,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,26,1957,70,Lansia (>65),Yes
10383,1966,Bachelor,Single,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,20,1093,59,Paruh Baya (51-65),Yes
7437,1988,Bachelor,Single,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,5,29,37,Dewasa (36-50),No
8557,1982,Bachelor,Single,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,5,46,43,Dewasa (36-50),No
8375,1968,PhD,In Relationship,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,16,518,57,Paruh Baya (51-65),No
6853,1982,Master,Single,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,20,1438,43,Dewasa (36-50),Yes
3076,1975,Bachelor,In Relationship,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,18,612,50,Dewasa (36-50),No
1012,1952,Bachelor,Single,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,20,884,73,Lansia (>65),No
6518,1951,PhD,Single,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,18,606,74,Lansia (>65),No
4137,1948,Bachelor,In Relationship,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,15,1076,77,Lansia (>65),No
8082,1971,Bachelor,In Relationship,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,4,34,54,Paruh Baya (51-65),Yes
1386,1967,Bachelor,In Relationship,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,3,11,58,Paruh Baya (51-65),No
9369,1979,Below Bachelor's Degree,Single,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,31,1274,46,Dewasa (36-50),Yes
4477,1958,Bachelor,In Relationship,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,17,653,67,Lansia (>65),No
1357,1970,Bachelor,In Relationship,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,12,1562,55,Paruh Baya (51-65),No
1402,1954,Master,In Relationship,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,18,1253,71,Lansia (>65),No
10629,1973,Below Bachelor's Degree,In Relationship,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,6,109,52,Paruh Baya (51-65),No
6312,1959,Bachelor,In Relationship,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,26,863,66,Lansia (>65),No
8132,1975,PhD,In Relationship,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,19,661,50,Dewasa (36-50),Yes
1050,1952,Bachelor,In Relationship,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,7,65,73,Lansia (>65),No
5846,1977,Bachelor,Single,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,3,13,48,Dewasa (36-50),No
1859,1972,Master,In Relationship,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,18,1890,53,Paruh Baya (51-65),Yes
7503,1976,Bachelor,Single,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,22,2209,49,Dewasa (36-50),Yes
10401,1976,Below Bachelor's Degree,In Relationship,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,3,18,49,Dewasa (36-50),No
1618,1965,Bachelor,In Relationship,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,19,692,60,Paruh Baya (51-65),Yes
3332,1985,Bachelor,Single,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,8,165,40,Dewasa (36-50),No
2261,1969,Bachelor,In Relationship,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,3,16,56,Paruh Baya (51-65),No
5346,1973,Below Bachelor's Degree,In Relationship,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,6,79,52,Paruh Baya (51-65),No
4119,1963,Master,In Relationship,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,10,318,62,Paruh Baya (51-65),No
535,1987,Bachelor,Single,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,26,778,38,Dewasa (36-50),No
5268,1960,Bachelor,In Relationship,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,5,56,65,Paruh Baya (51-65),No
273,1970,Master,In Relationship,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,8,151,55,Paruh Baya (51-65),Yes
4452,1957,Bachelor,Single,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,13,372,68,Lansia (>65),Yes
8504,1973,Bachelor,In Relationship,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,18,1366,52,Paruh Baya (51-65),Yes
771,1967,Bachelor,In Relationship,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,9,194,58,Paruh Baya (51-65),No
8996,1957,PhD,In Relationship,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,17,603,68,Lansia (>65),No
9235,1957,Bachelor,Single,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,3,18,68,Lansia (>65),No
5798,1973,Master,In Relationship,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,14,985,52,Paruh Baya (51-65),No
11178,1972,Master,Single,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,4,32,53,Paruh Baya (51-65),No
2230,1970,PhD,In Relationship,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,7,43,55,Paruh Baya (51-65),No
7516,1983,Bachelor,In Relationship,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,5,45,42,Dewasa (36-50),No
7247,1960,Bachelor,Single,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,17,606,65,Paruh Baya (51-65),Yes
11100,1972,Bachelor,Single,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,5,63,53,Paruh Baya (51-65),No
4646,1951,Below Bachelor's Degree,In Relationship,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,24,978,74,Lansia (>65),Yes
3037,1983,PhD,In Relationship,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,14,410,42,Dewasa (36-50),No
1473,1960,Below Bachelor's Degree,Single,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,5,72,65,Paruh Baya (51-65),No
1016,1959,PhD,Single,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,5,55,66,Lansia (>65),No
4518,1979,Bachelor,In Relationship,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,25,1169,46,Dewasa (36-50),No
9370,1945,PhD,In Relationship,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,15,1120,80,Lansia (>65),No
8908,1959,Bachelor,In Relationship,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,19,1097,66,Lansia (>65),Yes
8373,1979,Below Bachelor's Degree,In Relationship,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,4,29,46,Dewasa (36-50),No
7533,1964,Bachelor,In Relationship,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,9,187,61,Paruh Baya (51-65),No
2683,1969,Bachelor,In Relationship,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,22,910,56,Paruh Baya (51-65),No
3629,1978,Bachelor,Single,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,7,145,47,Dewasa (36-50),No
10991,1960,Master,In Relationship,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,13,850,65,Paruh Baya (51-65),No
5077,1979,Bachelor,In Relationship,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,23,969,46,Dewasa (36-50),No
7431,1991,PhD,Single,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,16,1820,34,Dewasa Muda (26-35),Yes
3267,1963,Master,In Relationship,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,17,608,62,Paruh Baya (51-65),Yes
999,1991,Bachelor,Single,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,24,730,34,Dewasa Muda (26-35),Yes
9215,1980,PhD,In Relationship,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,16,551,45,Dewasa (36-50),No
2286,1962,Bachelor,Single,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,6,114,63,Paruh Baya (51-65),No
1592,1970,Bachelor,In Relationship,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,15,1724,55,Paruh Baya (51-65),Yes
367,1978,Below Bachelor's Degree,In Relationship,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,15,577,47,Dewasa (36-50),No
5234,1967,Below Bachelor's Degree,In Relationship,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,5,81,58,Paruh Baya (51-65),No
9862,1969,Bachelor,In Relationship,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,5,33,56,Paruh Baya (51-65),No
9805,1953,Master,In Relationship,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,18,660,72,Lansia (>65),No
6205,1967,Master,Single,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,6,80,58,Paruh Baya (51-65),Yes
8442,1985,Master,In Relationship,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,4,30,40,Dewasa (36-50),No
7386,1976,Bachelor,Single,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,4,43,49,Dewasa (36-50),No
7215,1983,Bachelor,Single,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,27,1135,42,Dewasa (36-50),Yes
1491,1965,Below Bachelor's Degree,In Relationship,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,14,559,60,Paruh Baya (51-65),No
11071,1984,Bachelor,Single,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,15,1923,41,Dewasa (36-50),Yes
3381,1953,Master,In Relationship,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,6,90,72,Lansia (>65),No
8268,1961,PhD,In Relationship,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,14,404,64,Paruh Baya (51-65),No
11051,1956,PhD,In Relationship,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,19,661,69,Lansia (>65),No
8026,1952,Bachelor,In Relationship,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,14,463,73,Lansia (>65),No
433,1958,Master,Single,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,18,632,67,Lansia (>65),No
9597,1969,Bachelor,In Relationship,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,18,725,56,Paruh Baya (51-65),No
1295,1963,Bachelor,In Relationship,0,1,2013-08-11,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,18,725,62,Paruh Baya (51-65),No
5290,1964,PhD,In Relationship,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,11,279,61,Paruh Baya (51-65),No
1685,1967,PhD,In Relationship,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,22,1482,58,Paruh Baya (51-65),Yes
5342,1976,Below Bachelor's Degree,Single,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,4,29,49,Dewasa (36-50),No
9579,1959,PhD,In Relationship,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,6,106,66,Lansia (>65),No
7660,1973,PhD,Single,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,4,49,52,Paruh Baya (51-65),Yes
1461,1965,PhD,Single,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,5,38,60,Paruh Baya (51-65),No
821,1992,Master,Single,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,21,2077,33,Dewasa Muda (26-35),No
11084,1976,Master,In Relationship,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,15,1053,49,Dewasa (36-50),Yes
8690,1962,Bachelor,In Relationship,0,0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,22,1385,63,Paruh Baya (51-65),No
2937,1974,PhD,Single,0,1,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,22,871,51,Paruh Baya (51-65),No
9701,1988,Bachelor,In Relationship,1,0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,9,312,37,Dewasa (36-50),No
9949,1976,Bachelor,In Relationship,0,2,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,12,877,49,Dewasa (36-50),No
10837,1975,Bachelor,In Relationship,1,0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,5,68,50,Dewasa (36-50),Yes
3120,1981,Bachelor,In Relationship,1,0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,3,22,44,Dewasa (36-50),No
5885,1973,Below Bachelor's Degree,In Relationship,2,1,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,9,211,52,Paruh Baya (51-65),No
4050,1966,Master,In Relationship,0,0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,7,127,59,Paruh Baya (51-65),No
3830,1953,Master,In Relationship,0,2,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,15,459,72,Lansia (>65),No
7987,1969,Bachelor,In Relationship,0,1,2014-03-07,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,15,460,56,Paruh Baya (51-65),Yes
7798,1972,Below Bachelor's Degree,In Relationship,0,1,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,13,429,53,Paruh Baya (51-65),No
92,1988,Bachelor,Single,1,0,2014-05-12,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,7,89,37,Dewasa (36-50),No
7055,1952,PhD,In Relationship,0,1,2012-10-09,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,24,1021,73,Lansia (>65),No
10240,1949,Bachelor,In Relationship,0,0,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,20,1381,76,Lansia (>65),Yes
3025,1958,Bachelor,Single,0,1,2013-07-08,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,12,306,67,Lansia (>65),No
9283,1978,Bachelor,Single,1,2,2013-09-12,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,3,18,47,Dewasa (36-50),No
9970,1977,Bachelor,In Relationship,0,1,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,8,162,48,Dewasa (36-50),No
